"yplot.n","n.mn","n.lo","n.up"
2037,795.795135117424,410.198106875343,939.771157655438
2038,764.997000000509,394.256512368515,907.44626885408
2039,734.964275711193,376.172808928682,875.97309645313
2040,704.134080602351,362.106177764096,851.498722721814
2041,672.153802095808,347.200086801526,820.435823089515
2042,643.405528325036,329.153815157063,788.856497064661
2043,614.127474915409,314.590009031975,757.827781920346
2044,587.975140109501,295.932643428583,729.697210381801
2045,561.660496296435,274.486199314919,700.31177183942
2046,537.648000989072,191.603934283909,675.352355347571
2047,513.982219170002,178.500454524471,651.163687217996
2048,492.475527425272,166.62476988124,628.377972149892
2049,471.987718073556,156.676004828392,605.944781473559
2050,452.65438052457,149.315449599385,583.542102350003
2051,432.587243818496,138.950584864606,559.636926618564
2052,413.572213267068,130.463569235221,542.607822245135
2053,394.644649162171,125.952448755281,519.614691465354
2054,377.099846620348,120.150367955766,500.155268722317
2055,360.414743670998,115.579241685658,481.260151507303
2056,344.180351308119,111.211721525275,463.648886980354
2057,329.244185269805,105.199167200709,446.685610885534
2058,315.234361281698,100.518148842955,432.701559481397
2059,302.266518222176,97.3633279896956,416.104637839108
2060,288.948295375014,93.3687227714857,399.696458215584
2061,276.769688932468,89.8438190844285,382.41614487609
2062,264.268187731159,87.4971985999159,369.788787748322
2063,252.255663805997,81.1408973811961,356.496461515753
2064,240.938596238283,77.683115982535,342.619879462058
2065,230.10033774634,75.4826268706986,330.395066424663
2066,219.783181804535,71.793601425216,316.956956338654
2067,210.375841818173,68.6072780125198,306.318613857918
2068,200.836420328297,64.8950577523974,296.073935542103
2069,192.05035787489,62.43690084726,285.140630791616
2070,183.525258534348,59.5890948513267,274.794809116667
2071,175.469176670366,57.4666359413097,263.067748011305
2072,167.810961633939,55.4062398404563,254.098929477573
2073,160.916869662159,53.1090604134584,243.992343550467
2074,154.108543170327,50.8966692537796,235.198941484875
2075,147.166148060012,49.1933443112658,226.144689308186
2076,140.62308560062,46.0221140529496,215.507744640307
2077,134.494868522195,43.9878137335363,208.785204074106
2078,128.771863659456,41.553477271332,200.960511286498
2079,123.219435785826,38.7730967045464,192.757430901468
2080,118.030461000383,37.2210922238204,185.995612777825
2081,112.824626600958,35.2088128427762,180.367477008562
2082,108.092267168312,33.5780004081517,172.78149880716
2083,103.463030634887,31.8250848830468,166.409025411538
2084,99.2439280804581,30.0992106641071,159.669973686781
2085,94.9831680986051,28.8728708508105,154.597243650856
2086,90.7631973692501,26.5551586529324,147.9039148632
2087,86.5647898170578,22.5800040302282,142.789324420032
2088,82.6360104380647,21.4187752619306,136.355414101008
2089,78.8979775265718,20.5529713027994,132.142397121964
2090,75.7291121146273,18.509668169592,127.022850025217
2091,72.4075221294678,17.1584230024791,121.733764290814
2092,69.0534432671961,16.3843049124765,117.106026319719
2093,66.0437959513039,15.8899717519694,112.350504703294
2094,63.317743857768,15.0579513199711,107.117300678372
2095,60.5399157941837,14.2504280749111,103.470710062404
2096,58.0318682608055,13.3494026398029,99.3363103163384
2097,55.6831021353486,12.812893535393,95.6467539635882
2098,53.325522618825,12.2441433827002,92.5747821053715
2099,50.9178755055188,11.8301300123975,88.6097753699909
