"yplot.r","r.mn","r.lo","r.up"
2037,-0.0244893689073548,-0.0529046241405839,0.004774573354511
2038,-0.0267973050906012,-0.0552749200148599,0.00396929355367476
2039,-0.029393735455615,-0.05908861142193,0.000826728284599008
2040,-0.0311876450259628,-0.058936281827813,0.000176691949999077
2041,-0.0343142855810274,-0.0604733334399014,-0.00201301204697136
2042,-0.0313847238431016,-0.058747463831056,-0.00234385287416665
2043,-0.031927902198545,-0.0592253386398856,-0.00153372983942449
2044,-0.0297772517256128,-0.05691344476644,0.000108540514396775
2045,-0.0316739057841611,-0.0574941412775296,-0.000542131832473662
2046,-0.0365940665740178,-0.0620435292106742,-0.00018254941938641
2047,-0.0327191838691081,-0.0627852079009293,0.000732514306900955
2048,-0.0309695628194648,-0.0582891473224183,0.000124069422411263
2049,-0.0295592532296381,-0.0589480260202547,-0.00213497503528993
2050,-0.0322898519367191,-0.0563491971729554,-0.000750472689477674
2051,-0.0358079883217281,-0.0658604746736284,-0.000518784357253684
2052,-0.031313436524644,-0.0624221919792565,-0.00247336597505192
2053,-0.0321770210933277,-0.0589125645962688,-0.000285089072851409
2054,-0.0376952543797153,-0.0635950094073837,-0.00136235280385972
2055,-0.0313638380359541,-0.0605138844010268,0.00014560830407234
2056,-0.0320091910179943,-0.0581632040312582,5.96813946014694e-05
2057,-0.0349537810317929,-0.0628838889063519,0.00121099715571362
2058,-0.0336892079274381,-0.062072416630235,-0.000281835099398734
2059,-0.0289484839558141,-0.0575641519253079,0.000247378350433381
2060,-0.0305392776815679,-0.0559437640043688,-0.00111484062866898
2061,-0.0336836008903856,-0.0624820863951644,0.000368733761580638
2062,-0.0365489749459448,-0.0704844040341616,-0.00256336116048781
2063,-0.0317507060647608,-0.0604914918234088,0.000441599131810997
2064,-0.0303715197383727,-0.058653936416491,-0.000884789991963537
2065,-0.0288852661401862,-0.0558348624984747,-0.000196162633094202
2066,-0.0319233156777251,-0.0584279348765737,-0.000210096342946137
2067,-0.0322008745316113,-0.058538922233929,0.000185112532970223
2068,-0.0329672452732413,-0.0628129085553492,-0.0011537599369701
2069,-0.0342560571254281,-0.0615315326052319,-0.000499456346549173
2070,-0.0325746215301894,-0.0619868203121367,-0.000812091023884756
2071,-0.0325285607098603,-0.0633447944696781,0.000362408629676127
2072,-0.0341808870950355,-0.0615072385432732,-0.000437761235368604
2073,-0.0280680716546152,-0.0577324861917417,-0.000447303532910967
2074,-0.03205417095858,-0.0576269534683697,0.000794709047710107
2075,-0.0311110097133619,-0.0592355488806944,0.000888929729072543
2076,-0.0290859115079337,-0.0567521440489106,-0.00134978563201162
2077,-0.0346408750710221,-0.0613861273805723,-0.000344064890366984
2078,-0.0308464328422641,-0.0584773269539955,-0.00109798730097933
2079,-0.0331883279790796,-0.0613170077903302,0.00219048060557319
2080,-0.0258204507447372,-0.054387132495797,-0.00122387206661423
2081,-0.0294537873097328,-0.0599411269459068,-0.000943063552974049
2082,-0.0297088664815239,-0.0571040508543048,9.89431406028108e-05
2083,-0.0314870686008127,-0.0592633143253818,0.000337871831976563
2084,-0.0300599845037112,-0.058861660179086,-0.00114015891070951
2085,-0.0312550048249753,-0.0617264507636297,-4.99172030874869e-05
2086,-0.0358255238468943,-0.0611064522268965,-0.00142056290392347
2087,-0.0359147562321594,-0.0607120544898805,-0.00184980662962036
2088,-0.0336873633299355,-0.0607860197325775,0.000680913780943329
2089,-0.0339384532942452,-0.061477233846084,-0.00063931192658869
2090,-0.0300927753044359,-0.0575441301502814,0.00157731758858625
2091,-0.0320863824040046,-0.0586280127014057,-0.00138691418310975
2092,-0.0278055287993254,-0.0569028894536242,-0.00072398901737007
2093,-0.0293307483189015,-0.0541779096841829,0.000282055239500544
2094,-0.0322054388926167,-0.0606701673177112,0.000561877873464351
2095,-0.0343434343831763,-0.0610453390417764,0.00107623099963721
2096,-0.0339995989973112,-0.0575407029516414,-0.00140719583220272
2097,-0.0292243816058251,-0.0568164873927317,-0.000543420550371725
2098,-0.0297959789018959,-0.056542913794501,-0.000317440660613231
