"yplot.r","r.mn","r.lo","r.up"
2037,-0.0385655138599223,-0.0666268880882298,-0.00673312418336783
2038,-0.038670685697645,-0.0635054912529228,-0.00897784364522464
2039,-0.0446466130082198,-0.0705271829913864,-0.0104324662083983
2040,-0.0429869470988361,-0.0744342429332471,-0.00907815085458609
2041,-0.0461983788035935,-0.0731538437923563,-0.0141340147479217
2042,-0.0473921334469652,-0.0758205996412184,-0.0128336593215136
2043,-0.0421359276938172,-0.0719180045824972,-0.0113059650622847
2044,-0.0426600945352064,-0.0708707350489206,-0.0106345899818111
2045,-0.0403090080416718,-0.0699693952912622,-0.0104699854990249
2046,-0.0453616858805337,-0.0720720393182364,-0.010250828254349
2047,-0.0415075316536787,-0.0681596329981073,-0.0111514063193978
2048,-0.0448864823777733,-0.071129681860261,-0.00889981478655949
2049,-0.0449537699178385,-0.0730040543372025,-0.00923890439640351
2050,-0.0420295473522771,-0.067003388834827,-0.0104967308804367
2051,-0.0412678633023712,-0.0683404548197992,-0.0133071853779487
2052,-0.0407037791943681,-0.068045606538373,-0.0117831595257695
2053,-0.04844405583256,-0.0743207808282255,-0.0116555817249486
2054,-0.044438514827543,-0.0719792975024484,-0.0113377163498689
2055,-0.0474555693554383,-0.0777491785327137,-0.0120357798245407
2056,-0.0449933266892606,-0.0695379254448593,-0.0120971724736616
2057,-0.0419952618802128,-0.0712008241629687,-0.00918848315861415
2058,-0.0423215721992476,-0.0735196266612332,-0.0100326982445778
2059,-0.0437012202774242,-0.0724998277967891,-0.00991565149817354
2060,-0.0377795418173217,-0.0711944934238969,-0.0110234497547886
2061,-0.04516217713266,-0.0694418356147156,-0.0109356731508698
2062,-0.0410575500998068,-0.0691165199614023,-0.0105592649086787
2063,-0.043649212081855,-0.0732911979461235,-0.0122090325706781
2064,-0.0418164806867197,-0.0676826581834667,-0.0112968199472407
2065,-0.0426655595843883,-0.0664082890532701,-0.00961970000902932
2066,-0.0475086420812522,-0.0733695984591284,-0.010534928462665
2067,-0.0453206578966763,-0.0692426267223888,-0.0108230153937173
2068,-0.0479234568305486,-0.0783378469907504,-0.0104833507601875
2069,-0.0441453057363694,-0.0713233737211803,-0.011713431276314
2070,-0.0449103652446761,-0.0701406642898425,-0.010372816483238
2071,-0.0459221896511561,-0.0701080416773528,-0.0117023537573524
2072,-0.0449977055345035,-0.0757503606842931,-0.0105708533621485
2073,-0.0415001630357237,-0.0726496788407032,-0.0119422792633016
2074,-0.0442373047818816,-0.0718094139939867,-0.0112277726824155
2075,-0.0432124274867392,-0.0738207307424664,-0.010037160399669
2076,-0.0431669813244472,-0.0696984549434444,-0.0102714866045137
2077,-0.0413193071562627,-0.0699600665959219,-0.00751548815943252
2078,-0.0408758373877385,-0.0694166795116147,-0.00934255551329806
2079,-0.0470523308959992,-0.0764803589357949,-0.0100251574115679
2080,-0.0447930947200806,-0.0745021488556538,-0.0110636447448599
2081,-0.0415932264409761,-0.0697397532871468,-0.0109770107961181
2082,-0.0415351198126884,-0.0686280335220807,-0.0120207204144103
2083,-0.0436201561878619,-0.0729512373016075,-0.0116055496638386
2084,-0.0422007532790833,-0.0703605428673439,-0.0102149492292094
2085,-0.041294050545473,-0.0690682428242512,-0.0125613650893779
2086,-0.0435751892101403,-0.0716964870079868,-0.0103270698306355
2087,-0.0447791118503762,-0.0754033576307789,-0.0108164380760025
2088,-0.0441915350732936,-0.0716602642814731,-0.00972732687663219
2089,-0.0430363046453812,-0.072284330540859,-0.0128953882935924
2090,-0.0431168528146196,-0.0713750898578175,-0.0105966000223703
2091,-0.0452091284765914,-0.0725447442847492,-0.0120966491592056
2092,-0.0430382742921103,-0.0717348384121665,-0.0117870422133887
2093,-0.0415744032237859,-0.0690720154214169,-0.0108108132084159
2094,-0.0413010350124628,-0.0719111837901254,-0.0120287876497557
2095,-0.0466151328587198,-0.0787431668605888,-0.00843356055858199
2096,-0.040207067018796,-0.070296291702833,-0.0114823613719628
2097,-0.0424616060324376,-0.0711807578273562,-0.0112981158328206
2098,-0.0452097123803475,-0.0691640145142452,-0.0112304738894185
