"yplot.n","n.mn","n.lo","n.up"
2037,1581.29731714946,862.144071004984,1820.4122720273
2038,1600.73804119176,866.419459032836,1865.18833538297
2039,1617.96381698619,869.532953728802,1903.28151165763
2040,1637.76717859437,880.238466734809,1930.73608789394
2041,1649.32822561936,886.065771058927,1965.82973805612
2042,1661.41681380058,890.470698540823,1991.69530664045
2043,1672.68308020123,890.006502437134,2020.90939371801
2044,1683.56331732933,876.399203536721,2048.77883323493
2045,1693.34619172521,893.741416472096,2065.20397961855
2046,1702.80513063205,803.771874449678,2092.50764430186
2047,1714.625149828,823.422256652676,2123.75752879793
2048,1729.57678546376,616.082930088978,2143.15112021534
2049,1741.84860700408,593.105661772874,2177.57037871619
2050,1752.10815390659,586.719115664542,2196.13250475238
2051,1764.1082120952,601.149958278519,2218.43675951585
2052,1778.96006100088,603.102802080586,2260.85472380248
2053,1792.97487546592,614.321656202595,2297.22741435749
2054,1803.05641209806,612.395619248475,2310.59111763049
2055,1812.80358936772,616.745728303588,2338.04431027261
2056,1822.92701496848,621.459799055874,2360.58591354164
2057,1828.88742934197,627.878827248087,2383.89129384259
2058,1841.74902943534,641.20627163366,2409.16312414425
2059,1852.37129291438,645.38995016194,2439.32292077892
2060,1865.96643305261,657.224707351201,2459.55888732828
2061,1874.55510957238,661.449369064321,2481.44543735197
2062,1883.89517693551,675.512564357252,2502.26526828996
2063,1893.60612508853,675.607618234733,2517.89904087668
2064,1901.99214429616,677.561987561797,2544.61842312615
2065,1914.97687484754,678.248121691813,2560.24448977976
2066,1923.58759693229,683.741688095787,2576.4510025991
2067,1930.96081369048,690.763859512921,2609.22129706497
2068,1940.20506282912,701.558798475222,2620.49712280185
2069,1951.58611541874,706.908179991608,2653.97761579176
2070,1959.87005548735,701.706837482919,2672.71126239809
2071,1968.67337660167,709.625632849326,2696.45677926548
2072,1976.79523666719,713.327275206638,2717.40258652087
2073,1976.70239302534,716.91063341435,2734.08040629367
2074,1982.82945596445,719.416051183453,2762.2989155532
2075,1989.97681374817,691.333982133276,2763.5479445588
2076,1999.79453179619,698.023872546577,2783.33716406908
2077,2010.5782122955,719.615640142658,2796.76008887496
2078,2019.12996557764,721.854728869065,2818.36903040079
2079,2028.81239307579,721.921203649906,2837.00139208198
2080,2036.09889963313,730.31237105255,2861.28599053546
2081,2044.15893408606,696.943063149574,2883.69048206768
2082,2051.74966621308,706.650733200539,2896.16034027413
2083,2063.61079341473,719.968734180632,2904.49728196465
2084,2071.35137750146,676.25474096776,2924.89775243205
2085,2077.21479296198,685.611775632333,2926.4853585976
2086,2082.38931915886,710.815993401186,2953.54660089977
2087,2086.03684179051,561.385830383099,2960.91425550492
2088,2094.24098913143,562.358347435531,2964.9529526226
2089,2104.0359243322,543.766777096261,2987.06349679586
2090,2111.72002868158,557.628283439259,3013.89280633795
2091,2117.2618308647,554.650407115655,3008.18110798283
2092,2117.48862001872,557.06549218556,3018.92449710058
2093,2122.54053745551,564.296081509491,3027.29525008824
2094,2128.02261117809,574.607208273188,3036.46503537874
2095,2134.30414692927,575.29347261226,3062.65571113929
2096,2146.01397446983,570.614943268627,3055.86144799031
2097,2152.91049665608,563.24443260362,3055.1324694235
2098,2158.35263903076,562.390181723017,3066.24909823769
2099,2167.30087237286,572.062355030363,3083.0124514241
