"yplot.n","n.mn","n.lo","n.up"
2037,1584.55011657824,865.243650351669,1820.81551676161
2038,1604.32680327929,877.76911582437,1851.16354008426
2039,1624.63494083324,887.746010088418,1891.5376598495
2040,1641.80827316397,895.806441598796,1918.49308379222
2041,1654.70277891713,911.904890297695,1947.69970133549
2042,1666.78706209749,917.29498430092,1966.46974304512
2043,1673.07803832879,919.002914717324,1987.4208167724
2044,1677.98481786666,921.982348533966,2016.58578221956
2045,1689.20004305549,930.220978077781,2041.416342346
2046,1699.51224334578,929.032874988984,2071.41348965694
2047,1710.32287964857,918.90800617342,2095.59414539092
2048,1721.19372677212,930.734011262507,2119.81015860239
2049,1730.95923692045,876.616386339004,2141.0600526443
2050,1741.92799917702,876.253203962636,2169.34617605948
2051,1753.47607579421,667.83706747313,2196.7140925661
2052,1763.92001971971,660.011757461036,2218.43554232274
2053,1770.76917373929,667.934228456515,2228.4930422249
2054,1777.77207817712,661.914318834975,2265.02348550415
2055,1786.57892758553,663.429929836579,2280.87190706694
2056,1798.98210995278,649.420130067782,2306.52520511759
2057,1806.36281625094,656.069719923035,2327.85470511932
2058,1816.70692562836,668.321085367254,2351.0510547155
2059,1829.29473253025,677.399628923447,2385.53423925132
2060,1840.98052400742,678.394101291332,2402.11695603487
2061,1850.70326950646,688.636232953334,2421.06872979606
2062,1863.86657349917,693.524245712394,2437.5892407278
2063,1871.40119891616,706.310296085985,2471.284297666
2064,1882.20293977772,717.579508307702,2495.28226670408
2065,1884.78568900746,719.389777769895,2522.40103070736
2066,1894.24926243876,732.426360462506,2532.77278193992
2067,1904.77386783887,739.073213137572,2553.3174073288
2068,1912.23092803398,751.426719137768,2571.98989765718
2069,1913.14424126671,749.481356180067,2583.57480797575
2070,1926.1523606674,751.975848165453,2603.67267453577
2071,1931.3758595068,750.246531161599,2618.17401058727
2072,1940.7471519688,750.276463540537,2626.54324512554
2073,1949.47394942042,747.603604006875,2646.1107757362
2074,1949.61471156627,752.088786164706,2676.43553721331
2075,1954.75543623507,763.557340160964,2694.81491312554
2076,1960.36346689196,765.304762552209,2702.2394508735
2077,1963.55830936142,750.986908204321,2712.26500392418
2078,1973.10611003604,764.638431486314,2739.01637345002
2079,1978.67772688455,769.572765402427,2749.56317182895
2080,1983.45187811,780.120830924717,2772.19786219189
2081,1989.89124428902,788.563143049101,2791.1283417164
2082,1997.27901447588,778.598007006908,2817.82531973732
2083,2002.65844819593,787.674250826,2829.91506630472
2084,2012.57997183434,792.65054152928,2837.66768538172
2085,2015.13860643505,798.210057485337,2847.55500449688
2086,2024.34292625484,804.948934226744,2869.59204000467
2087,2029.78708990784,798.730785614053,2905.41207800377
2088,2037.13228582436,781.00184968368,2912.32408698213
2089,2046.24393274273,792.440682361226,2901.5784609991
2090,2052.62915907099,767.044578880908,2946.99433547434
2091,2055.47646800903,758.535455179547,2960.17395941651
2092,2058.72234492527,672.203517193122,2956.67130979228
2093,2059.7987520816,673.448682476157,2945.6198981396
2094,2064.84591147479,666.992841767026,2958.9090822452
2095,2072.26306664903,674.342141595494,2973.3603994772
2096,2078.44508316748,665.473218806305,2994.42000837007
2097,2083.49118983099,667.856971962221,3017.2248710406
2098,2086.56584908968,669.702535750465,3012.78191520826
2099,2091.31681841628,674.573154077826,3023.25317432122
