"yplot.r","r.mn","r.lo","r.up"
2037,-0.114286012149651,-0.53594442610987,-0.0397915336051759
2038,-0.129332634207453,-0.541698025273054,-0.0478792062484387
2039,-0.151322125517361,-0.610014601322211,-0.0570808750680953
2040,-0.178048632690985,-0.784772138560923,-0.0725747420388621
2041,-0.200920661578752,-0.747250124348269,-0.092470307558061
2042,-0.227042790536796,-0.739404063492203,-0.108948901646616
2043,-0.269873832809065,-0.886375226680843,-0.131403741303031
2044,-0.312641538311329,-0.844579816806443,-0.151744096707457
2045,-0.389862192642588,-1.08610671995058,-0.176666508856785
2046,-0.513246367196516,-1.26886646168473,-0.215025676419046
2047,-0.684872225758395,-1.41686710586704,-0.259461962693528
2048,-0.785634737890242,-1.39403324486403,-0.313153609933431
2049,-0.781461276161861,-1.48344313720654,-0.339887613684113
2050,-0.648724526895278,-1.3953624394022,-0.339120922025321
2051,-0.545182723165928,-1.21134068758906,-0.329956984133816
2052,-0.481228118371115,-0.931371847266765,-0.337900906499699
2053,-0.481699052845334,-0.79162005110745,-0.362953277720859
2054,-0.65153163176543,-1.26474487895777,-0.43060144060018
2055,-0.748985544864684,-1.51634734961816,-0.427934710364176
2056,-0.908203454149712,-2.20820197063527,-0.422677807192814
2057,-1.07334934152659,-2.94520726102001,-0.419361915280135
2058,-1.13177061080716,-3.06456302063548,-0.390744175307744
2059,-0.919013834482811,-3.48135916701239,-0.355807183432646
2060,-0.786738099903715,-2.6737368086268,-0.383867389716124
2061,-0.704868945177426,-1.92904101400335,-0.37341186786724
2062,-0.622725331878914,-1.17753547730919,-0.397551581053733
2063,-0.612232793241857,-1.28787888559778,-0.385332242957
2064,-0.629278974144216,-1.14404773187578,-0.450805894865059
2065,-0.853735543659503,-1.36888316497246,-0.574395061405567
2066,-0.911335615554303,-0.911335615554303,-0.911335615554303
2067,NA,NA,NA
2068,NA,NA,NA
2069,NA,NA,NA
2070,NA,NA,NA
2071,NA,NA,NA
2072,NA,NA,NA
2073,NA,NA,NA
2074,NA,NA,NA
2075,NA,NA,NA
2076,NA,NA,NA
2077,NA,NA,NA
2078,NA,NA,NA
2079,NA,NA,NA
2080,NA,NA,NA
2081,NA,NA,NA
2082,NA,NA,NA
2083,NA,NA,NA
2084,NA,NA,NA
2085,NA,NA,NA
2086,NA,NA,NA
2087,NA,NA,NA
2088,NA,NA,NA
2089,NA,NA,NA
2090,NA,NA,NA
2091,NA,NA,NA
2092,NA,NA,NA
2093,NA,NA,NA
2094,NA,NA,NA
2095,NA,NA,NA
2096,NA,NA,NA
2097,NA,NA,NA
2098,NA,NA,NA
