"yplot.n","n.mn","n.lo","n.up"
2037,830.54757280895,429.433913898943,964.488862508211
2038,800.276370188807,411.09437780326,941.691576613147
2039,770.595725714424,396.540312997315,909.11703888678
2040,738.333944283577,382.658085421899,881.904607503297
2041,708.018090864014,363.000320921953,849.534928739813
2042,677.526362326479,349.041579865893,826.522739326085
2043,647.747507804148,335.129442277827,794.829366973502
2044,621.850499286273,317.06403594065,768.240007366346
2045,596.848002075364,300.927968921669,743.330901954606
2046,573.702037902798,285.661487921016,718.974486772981
2047,549.456213847148,262.62982961582,693.366235884828
2048,528.000902436477,190.552007953108,671.164734214184
2049,505.88820712271,177.105172518836,650.551552404722
2050,484.876796935507,165.513759080239,626.751107417067
2051,465.325419851609,160.963235246206,604.825654954278
2052,446.815329048743,154.936424147907,583.719536613538
2053,429.58804450576,145.938766708887,561.891581888066
2054,410.453935093609,133.483510099092,540.939942412075
2055,393.690029310126,126.01146863552,522.732951168877
2056,376.710193317554,120.108751190957,505.813284380962
2057,360.85841383921,115.723026682294,489.949941212221
2058,346.697299698494,111.720377833474,475.64763138575
2059,333.053601558524,106.294225274941,461.112545350917
2060,319.268609205865,101.223573942577,443.176309580494
2061,307.654033724761,97.4185260033852,426.329223852197
2062,294.922564445671,92.95557861628,412.499046818817
2063,283.541791879583,89.6320414761743,399.796293075763
2064,271.786748529525,85.7882893999017,384.184578657715
2065,260.976561446315,82.8818550806349,371.147995558808
2066,250.28431388602,79.7701909034415,358.551159296825
2067,239.210541546773,76.6136753258829,346.37043950203
2068,228.774236089954,73.409751094112,333.982745215881
2069,218.931327800218,69.9814718132169,323.267349604806
2070,210.046722330889,65.7182856243826,312.407525573932
2071,201.073401965709,63.5327693115188,302.789257601193
2072,192.478757729454,61.2984713100881,291.554877500665
2073,184.341019083611,58.3248495528093,282.178940483603
2074,176.993159542016,56.5282039874574,272.194090624195
2075,169.624665827401,54.4765603108239,262.377362212688
2076,162.679924569815,52.504044930464,252.177606773579
2077,156.029583667073,50.6588721987594,242.671656056307
2078,150.008422175912,47.6775084482861,235.903374019704
2079,144.158163021067,45.2886558809072,227.226076337858
2080,137.784788398545,42.9858586363041,219.334110885391
2081,131.901755091902,40.8151264264414,210.209889165691
2082,126.774256063195,38.4300277617115,202.836670090778
2083,121.817954960126,36.5694709532051,195.770384764352
2084,116.687561872098,34.8923550559815,188.42791433308
2085,111.891575245986,33.1518797637414,181.003890696589
2086,107.445526562674,29.0540416666074,174.761594140944
2087,103.057509993726,26.1450236203503,168.185569834953
2088,98.6291481067456,25.6139825360006,162.103457306487
2089,94.6086713603843,24.5100511629754,156.210348251948
2090,90.7989861363373,20.9684159847282,151.187973750368
2091,87.238308476356,19.387896993026,147.180841906575
2092,83.5620352945865,18.6788051857718,141.469810410453
2093,80.202837335695,17.9831091472527,136.073147697504
2094,76.953042841126,17.4330519966822,131.871388176796
2095,73.9426637080186,16.4593798494147,127.711344547694
2096,70.8147543517851,15.8866830175098,122.871313603672
2097,68.0814822261635,14.9019648670045,117.49981687689
2098,65.3408101712402,14.1641130122351,113.414681523789
2099,62.5398015902211,13.7182134307295,109.474162935232
