"yplot.r","r.mn","r.lo","r.up"
2037,-0.12962518250833,-0.559458439388971,-0.0548515543591409
2038,-0.155071069568833,-0.674799572565705,-0.0601354550249523
2039,-0.179802402588802,-0.698655899028409,-0.0752561494744822
2040,-0.208476110116838,-0.78640988361784,-0.0940091754136471
2041,-0.246633495092623,-0.88897752878694,-0.116312734085872
2042,-0.299611410940843,-1.00369041689892,-0.144151654600192
2043,-0.350675385191139,-0.987254902849026,-0.169612037536706
2044,-0.467613889157774,-1.35787580000771,-0.21176529768798
2045,-0.629958051344194,-1.54062156916061,-0.253879101528964
2046,-0.783031621620616,-1.60608704739455,-0.305256507389964
2047,-0.805680140301126,-1.58138224056569,-0.34130335037632
2048,-0.675844896416406,-1.30413095426284,-0.324952585544898
2049,-0.558875806620686,-1.19598434161836,-0.320351755833351
2050,-0.484789321221138,-1.13026740139179,-0.320200867552569
2051,-0.457204809879862,-0.821691251937811,-0.332071299436847
2052,-0.453727806322482,-0.678236991871926,-0.342933818391335
2053,-0.466920512315389,-0.625166936851282,-0.357575559163797
2054,-0.690001723436418,-1.40755566593676,-0.415554882092778
2055,-0.808304011590468,-1.86412328277418,-0.437498399127647
2056,-1.06563209978871,-3.17342645746461,-0.418527889531028
2057,-1.10739800261618,-3.346620910943,-0.397536203310045
2058,-1.09245080158613,-3.60410511642619,-0.37132329103629
2059,-1.01718819251148,-3.23253870124058,-0.373618396389158
2060,-1.29780350803886,-2.04835831563268,-0.547248700445041
2061,NA,NA,NA
2062,NA,NA,NA
2063,NA,NA,NA
2064,NA,NA,NA
2065,NA,NA,NA
2066,NA,NA,NA
2067,NA,NA,NA
2068,NA,NA,NA
2069,NA,NA,NA
2070,NA,NA,NA
2071,NA,NA,NA
2072,NA,NA,NA
2073,NA,NA,NA
2074,NA,NA,NA
2075,NA,NA,NA
2076,NA,NA,NA
2077,NA,NA,NA
2078,NA,NA,NA
2079,NA,NA,NA
2080,NA,NA,NA
2081,NA,NA,NA
2082,NA,NA,NA
2083,NA,NA,NA
2084,NA,NA,NA
2085,NA,NA,NA
2086,NA,NA,NA
2087,NA,NA,NA
2088,NA,NA,NA
2089,NA,NA,NA
2090,NA,NA,NA
2091,NA,NA,NA
2092,NA,NA,NA
2093,NA,NA,NA
2094,NA,NA,NA
2095,NA,NA,NA
2096,NA,NA,NA
2097,NA,NA,NA
2098,NA,NA,NA
