"yplot.n","n.mn","n.lo","n.up"
2037,468.678837767107,97.4022707590774,578.273923404769
2038,411.603014516904,61.6294263133103,519.779101541475
2039,357.212506430848,35.6178036209738,464.548559038938
2040,305.507511221044,22.3875055429778,409.12448271147
2041,257.065277879278,15.2689591354912,355.698926182922
2042,211.266927803179,10.4158733534975,304.216487310853
2043,167.922237939934,6.94937111382857,254.157183716846
2044,127.214783981592,4.39426916844928,206.292798270731
2045,88.9023518418719,2.64577056588336,159.991870625085
2046,54.6412949852654,1.54405321921449,114.999344405445
2047,28.5805935549481,0.877746982091913,72.931638769168
2048,14.6863525082656,0.476287761211875,36.8510101330968
2049,8.7344405967834,0.248176406788324,18.5120949468642
2050,5.54824872897201,0.121601550364996,11.9537115075669
2051,3.54241622447949,0.0504031738743865,7.84913663689675
2052,2.24532793597711,0.0172956113450618,5.10081329835002
2053,1.40241144585705,0,3.33195935758078
2054,0.859089477398024,0,2.15705801228634
2055,0.513325535430269,0,1.37210660316325
2056,0.295423548874063,0,0.859763637955143
2057,0.161182760448518,0,0.515517218106055
2058,0.0820618474397993,0,0.300881067933676
2059,0.0379868221860945,0,0.169832577919959
2060,0.0153106708559129,0,0.0895107102756039
2061,0.00505185033535907,0,0.0429300955899086
2062,0.0012177225399845,0,0.0164849231854394
2063,0.00017183903795518,0,0
2064,1.34929891173082e-05,0,0
2065,1.00643027481542e-06,0,0
2066,0,0,0
2067,0,0,0
2068,0,0,0
2069,0,0,0
2070,0,0,0
2071,0,0,0
2072,0,0,0
2073,0,0,0
2074,0,0,0
2075,0,0,0
2076,0,0,0
2077,0,0,0
2078,0,0,0
2079,0,0,0
2080,0,0,0
2081,0,0,0
2082,0,0,0
2083,0,0,0
2084,0,0,0
2085,0,0,0
2086,0,0,0
2087,0,0,0
2088,0,0,0
2089,0,0,0
2090,0,0,0
2091,0,0,0
2092,0,0,0
2093,0,0,0
2094,0,0,0
2095,0,0,0
2096,0,0,0
2097,0,0,0
2098,0,0,0
2099,0,0,0
