"yplot.r","r.mn","r.lo","r.up"
2037,-0.0398814724942044,-0.0627921446546517,-0.0114548727540172
2038,-0.040054198337486,-0.0627578641643055,-0.011411444243086
2039,-0.0402478116987919,-0.0628517775966968,-0.0110967690660104
2040,-0.0400304880985209,-0.0627717059296988,-0.0117698981960795
2041,-0.0392410024644358,-0.0618391712970927,-0.0109064529114501
2042,-0.0397590853659398,-0.062906638458202,-0.0112471306519683
2043,-0.0396493418288302,-0.0623314920323492,-0.0114836249727075
2044,-0.0396024647281037,-0.0626280337628977,-0.0111309298578486
2045,-0.0406018399323429,-0.0630160833098284,-0.0117726320666119
2046,-0.0405740234238695,-0.0628746766084017,-0.0114488225659028
2047,-0.0388896765130733,-0.0621206771450165,-0.0110506730421242
2048,-0.0399922854214304,-0.0639796852218945,-0.0116418183377183
2049,-0.0397242030954312,-0.0626365081562488,-0.0113360707130396
2050,-0.0405275786590706,-0.0627628679369272,-0.0109618218165039
2051,-0.0391539573662391,-0.0621703073512426,-0.0114789513555587
2052,-0.0400759021890171,-0.0624495295424367,-0.0112525472528585
2053,-0.0397455289039521,-0.062523055804885,-0.0117654511477859
2054,-0.0391192193941007,-0.0623099770271983,-0.011167425613791
2055,-0.0388908915182038,-0.0616300769985551,-0.0111344195765648
2056,-0.0402556917070892,-0.0627822600477114,-0.0114076531669014
2057,-0.0407030432923342,-0.0628982686099499,-0.010931240627857
2058,-0.0402109038095162,-0.0627352597001503,-0.0110252163912544
2059,-0.0399401053158839,-0.063678210962707,-0.011885749685742
2060,-0.0394450243590046,-0.0629341594607184,-0.0110214048711214
2061,-0.0398840019827339,-0.0619334800219436,-0.0113285058341458
2062,-0.0395478675480911,-0.0635159632211331,-0.0116078888056355
2063,-0.0402783776049971,-0.0636190391548919,-0.0119383859113135
2064,-0.0401586603493368,-0.0626088082338626,-0.011261497786667
2065,-0.0400505364456386,-0.063717440598386,-0.0113996439970968
2066,-0.0396837217516228,-0.0627241484707328,-0.0115021321342971
2067,-0.0403005686212801,-0.0626225862855253,-0.0110897607772881
2068,-0.0403219539190435,-0.0629197575140158,-0.0111951023734286
2069,-0.039754951228773,-0.0623180435242078,-0.01124151682331
2070,-0.0392976719414353,-0.0626836448700414,-0.0111881598663733
2071,-0.0399734621753542,-0.0619302479694494,-0.011628838414881
2072,-0.0387476483831031,-0.0627653432313233,-0.0108753707970365
2073,-0.0402723690696216,-0.0643607699461625,-0.0111924424019105
2074,-0.0403474671507648,-0.0632262811019773,-0.0114605363942517
2075,-0.040053486181673,-0.063171421648735,-0.0109983477345844
2076,-0.0402913590606561,-0.0632279185652904,-0.0116680775229352
2077,-0.0390015085610154,-0.0614896680468389,-0.0115314854379895
2078,-0.0394348873724872,-0.0626823627283656,-0.0117532153645535
2079,-0.0396812875945344,-0.0622238065001058,-0.0118139675470539
2080,-0.0397190975470833,-0.0623802050888157,-0.0114041040422553
2081,-0.040282263356308,-0.0625773762948825,-0.0117514160613763
2082,-0.0399344496167635,-0.0624748677302174,-0.0116411338832085
2083,-0.0394834420476077,-0.0627347966321995,-0.0113806215469322
2084,-0.0401935284265695,-0.0618572242965738,-0.011260998000782
2085,-0.0393442515164757,-0.0630364760084643,-0.0112840351778292
2086,-0.0396220822439275,-0.0623642059187193,-0.0115878667595247
2087,-0.0392588919840646,-0.0620155527325502,-0.011558753292202
2088,-0.0404856582106705,-0.0633998509100267,-0.0113141134836003
2089,-0.0394596187014809,-0.0628447345819506,-0.0114429197327513
2090,-0.0419441519882992,-0.0645526804504193,-0.0109006952943595
2091,-0.0398294621773879,-0.0627290826084764,-0.0115808992344301
2092,-0.0397649931880851,-0.0620362191853181,-0.0114349932877285
2093,-0.0388050457675461,-0.0625748644941209,-0.011437127820712
2094,-0.0386974218460534,-0.0617834641696336,-0.0112408199208233
2095,-0.0395421259924104,-0.0620404683283581,-0.011933836302522
2096,-0.0394407470072876,-0.0627559854934073,-0.0114799571467362
2097,-0.0396421014196219,-0.0616521476800311,-0.0111893093515907
2098,-0.0396089571694909,-0.0621847304202649,-0.0112287838185846
