"yplot.r","r.mn","r.lo","r.up"
2037,-0.0846937502925337,-0.108468423204226,-0.0543447526620286
2038,-0.0836160027201134,-0.107500745621962,-0.0540605323402988
2039,-0.0850042633018351,-0.109058087259016,-0.0541851225362249
2040,-0.0845000413501569,-0.107723878014877,-0.0540978927178133
2041,-0.0840840841816872,-0.108169976641918,-0.0539675762092201
2042,-0.0838365739919335,-0.106937518564802,-0.0540143198807255
2043,-0.083887374365698,-0.107694007307939,-0.0543950996260188
2044,-0.0835171325119908,-0.107570387091211,-0.0541710470284141
2045,-0.085149608653077,-0.10854254325951,-0.0540270426030596
2046,-0.0829288476597459,-0.106983571075382,-0.0540264507512115
2047,-0.0843486410280021,-0.108048788189436,-0.0541010354821971
2048,-0.0842166802768688,-0.108649874254546,-0.0540002099849456
2049,-0.0839595055511015,-0.108466923142775,-0.0543073332271088
2050,-0.0836105666191313,-0.107758349385908,-0.054239081263394
2051,-0.0840388318738751,-0.107703061841629,-0.0538869764234378
2052,-0.0842060111497792,-0.108271189137157,-0.0543613423031242
2053,-0.0839809249770971,-0.108285497292511,-0.0544975992909809
2054,-0.0832910233632558,-0.106572697212827,-0.0542020774343611
2055,-0.0832264065522698,-0.10762786802311,-0.0541798588850246
2056,-0.0844009506175816,-0.108591433712953,-0.0540996517199109
2057,-0.0854089550508392,-0.109255071461591,-0.0539692257016703
2058,-0.0834759807245779,-0.107724360030884,-0.0537583903892727
2059,-0.0847880155701878,-0.108578074713988,-0.0541433097952196
2060,-0.084645987034239,-0.107952705882845,-0.0542849306262248
2061,-0.0840448013095655,-0.107825990378466,-0.0544069102113677
2062,-0.0834960963283266,-0.107120794359023,-0.0542403079258254
2063,-0.0837895167495277,-0.107949347334379,-0.0538555757817981
2064,-0.0845803344601095,-0.108038480205978,-0.0540946463632743
2065,-0.0842969916646609,-0.107367699302512,-0.0534252810534794
2066,-0.0842148755846447,-0.107954974852159,-0.0536069593694308
2067,-0.0834583602049762,-0.108289254187065,-0.0544382339652915
2068,-0.0844187275461519,-0.107913231064807,-0.0541892444609259
2069,-0.0840458992230258,-0.108181826058275,-0.0536439817581221
2070,-0.0844993860867075,-0.108328984663866,-0.0539491398919418
2071,-0.0839059875503805,-0.107979340943609,-0.0543423549457605
2072,-0.0845741354364672,-0.108213172627996,-0.054123284287794
2073,-0.0841945976802015,-0.108457532764492,-0.0539992281532783
2074,-0.084463355207422,-0.108373355605368,-0.0543355163437722
2075,-0.0842578885701957,-0.107640160863257,-0.0540536461645221
2076,-0.0858521718903874,-0.10881364124878,-0.0540118127329905
2077,-0.0846721650953827,-0.108936756679387,-0.0543669254135839
2078,-0.0839163335420529,-0.108110434389847,-0.0538712077213605
2079,-0.083176003429699,-0.107633555870528,-0.0539650607003688
2080,-0.0829963980085578,-0.108106079454185,-0.0539796337974954
2081,-0.0853326759058762,-0.109018210469853,-0.0538213512440215
2082,-0.0839027790821951,-0.1078611667541,-0.0541067421759526
2083,-0.0843687596395412,-0.108889881335113,-0.0536155409602987
2084,-0.0839446275763794,-0.108240010578692,-0.0545700570384481
2085,-0.0840063929686755,-0.107160835313612,-0.053923510591834
2086,-0.0836216258951128,-0.108509080986458,-0.0541181031562634
2087,-0.0838705626036796,-0.10838901342332,-0.0536495215633365
2088,-0.0837118244982236,-0.107666528279797,-0.054595052181561
2089,-0.0831223405550845,-0.10695075586493,-0.0541609501718644
2090,-0.084036958405304,-0.107237529440826,-0.053400023004293
2091,-0.0843412494846607,-0.108107444305513,-0.0542825850809113
2092,-0.084581642124949,-0.107860099677449,-0.0538622546107122
2093,-0.0837997922776348,-0.108135851422006,-0.054235223734549
2094,-0.0837154414572477,-0.107707557197049,-0.054191670763997
2095,-0.0843964267201614,-0.107456183043824,-0.0539688128353114
2096,-0.0845029865553399,-0.107435596630468,-0.0535499044849779
2097,-0.084063850706827,-0.107938470649089,-0.0540645414728722
2098,-0.0836221339794107,-0.107218668841771,-0.054811791126035
