"yplot.n","n.mn","n.lo","n.up"
2037,88.1955029130838,6.36658848000002,147.791159680534
2038,41.1821563865852,3.43445800727152,74.9632817562413
2039,23.6200789529781,1.93262105461191,37.3921211345127
2040,15.1632113110584,1.10351297271262,24.4928178042983
2041,9.77642855417173,0.595135019042904,16.371752533811
2042,6.24830384404334,0.31131043456629,10.8100441381358
2043,3.92867851189726,0.145122959091218,7.07478779152381
2044,2.41571511907297,0.0534591316224375,4.57752796026029
2045,1.44507403319703,0.0100773485019704,2.90920327348191
2046,0.831779912295059,0,1.78815796119573
2047,0.45433071204951,0,1.07258029151054
2048,0.2301392219913,0,0.615577452664228
2049,0.104485014097453,0,0.334069714024795
2050,0.0403397169233292,0,0.168957486473468
2051,0.0121735090410233,0,0.0808800380468726
2052,0.00260181878000059,0,0.0317344439101035
2053,0.000345011498605374,0,0
2054,2.93003316969785e-06,0,0
2055,0,0,0
2056,0,0,0
2057,0,0,0
2058,0,0,0
2059,0,0,0
2060,0,0,0
2061,0,0,0
2062,0,0,0
2063,0,0,0
2064,0,0,0
2065,0,0,0
2066,0,0,0
2067,0,0,0
2068,0,0,0
2069,0,0,0
2070,0,0,0
2071,0,0,0
2072,0,0,0
2073,0,0,0
2074,0,0,0
2075,0,0,0
2076,0,0,0
2077,0,0,0
2078,0,0,0
2079,0,0,0
2080,0,0,0
2081,0,0,0
2082,0,0,0
2083,0,0,0
2084,0,0,0
2085,0,0,0
2086,0,0,0
2087,0,0,0
2088,0,0,0
2089,0,0,0
2090,0,0,0
2091,0,0,0
2092,0,0,0
2093,0,0,0
2094,0,0,0
2095,0,0,0
2096,0,0,0
2097,0,0,0
2098,0,0,0
2099,0,0,0
