"yplot.n","n.mn","n.lo","n.up"
2037,603.932758352328,316.947035673297,699.9450950004
2038,564.541557642445,295.18282832279,659.752689565228
2039,527.408141990512,275.948907366604,622.530990273744
2040,492.880434628472,257.534520282336,586.549862290291
2041,461.058626156437,240.977392517009,551.972314167755
2042,430.956055255872,224.185349486097,519.9201814285
2043,402.727043812075,208.905023438158,488.925793802522
2044,376.46406412922,194.613528140717,460.751506404947
2045,351.844009828378,180.053570521074,433.647098045245
2046,328.841108203043,166.518760738148,407.956389425846
2047,307.371830361436,154.416024020585,384.810348281193
2048,287.24558298325,139.07549124516,362.50511964656
2049,268.400647995557,88.9510112828457,341.158062830624
2050,250.895223404968,82.4163066728471,320.935376107417
2051,234.700786604232,76.2534338572766,302.111792157055
2052,219.36228272839,70.9882330832326,284.568045914765
2053,205.024177161696,65.9787814136703,267.443669558067
2054,191.547506067965,61.5592525684367,251.578420821165
2055,179.001029992793,57.1984787477186,236.809953797139
2056,167.321381439711,53.0858370722551,222.732572922313
2057,156.340992225429,49.701812871916,209.362493958581
2058,145.96579703853,46.2864600917743,197.190501797022
2059,136.385306688926,43.2436049762962,185.60278729381
2060,127.559853277496,40.4840295629148,174.430902454187
2061,119.19622965943,37.7291607315668,164.370812084125
2062,111.461529744718,35.106915165235,154.618038273627
2063,104.256249953678,32.8181815722417,145.814283326807
2064,97.4922948316401,30.6754299378254,137.09487693311
2065,91.0654678134859,28.5193140423413,128.958307672914
2066,85.0816455505454,26.4900496614396,121.452585223927
2067,79.4818645526855,24.7655642252754,114.207714512692
2068,74.2941955791984,23.1833512003821,107.459852263349
2069,69.4236199515679,21.6013051400397,101.018083514037
2070,64.9148362516978,20.253364587482,95.0531184813197
2071,60.7101088465261,18.807136763029,89.2448995272488
2072,56.7278794342311,17.4980746950758,84.0504796000906
2073,53.0371401279358,16.3799744578696,79.1216125505943
2074,49.595768515619,15.2915552128491,74.3701316133965
2075,46.357206122399,14.260674840499,70.0204729750877
2076,43.3586959585412,13.3077931612551,65.8847615449527
2077,40.5668453058865,12.4017689023489,62.0263146210668
2078,37.9349961949339,11.514574499412,58.1567147609125
2079,35.4565319579043,10.7817819166706,54.7245543065537
2080,33.1308802974923,9.89575186351545,51.4457443336727
2081,30.9550948426946,9.15763674330713,48.2565965658909
2082,28.9122495844546,7.85140496774034,45.4028193106106
2083,27.027905979968,6.41091808125195,42.635787186734
2084,25.2714028357441,5.64041031081277,40.1463288556675
2085,23.6178930606365,5.12728892813455,37.7056675209364
2086,22.0661152340934,4.66691781724591,35.5110376788755
2087,20.6300407247726,4.36603852653128,33.4016432827781
2088,19.2821527361901,4.03748705103839,31.4567055342813
2089,18.0326843139691,3.75252811406201,29.4863263203897
2090,16.8672105859736,3.4849506723737,27.7468290807687
2091,15.7681046511907,3.25283930697021,26.0842639632543
2092,14.72707326615,3.01283802408898,24.5379727456255
2093,13.7596088237476,2.81729623231169,23.0302955225844
2094,12.8556262231245,2.63844579455147,21.6682341650414
2095,12.0165316035499,2.45993566289403,20.3086120919792
2096,11.2320757595605,2.27255454742989,19.1007142432585
2097,10.5027983335584,2.1311457523789,17.9714439739354
2098,9.80922720835413,1.98212661440152,16.8796543362178
2099,9.16984203459098,1.85833158365596,15.8398075468768
