"yplot.n","n.mn","n.lo","n.up"
2037,834.689264163826,438.361649426334,971.473461600147
2038,799.905624477245,418.627691958314,938.562777685805
2039,765.077987141848,397.424144510222,906.068814796525
2040,732.191918010239,377.97801502662,875.667436132684
2041,700.987486911566,358.924947508402,846.170262138202
2042,670.646474287952,339.563220691041,815.719047606825
2043,641.77559545137,322.225153677642,785.828447330924
2044,614.313912828935,302.97254929049,757.709246150224
2045,587.607513807507,285.335967438971,730.516231296125
2046,561.955400753142,267.066966649493,703.879531479617
2047,536.559904907015,239.470907644511,678.123290760806
2048,512.108899801357,161.008947913362,653.016016467636
2049,488.693983539534,147.347542974775,629.426209688026
2050,466.259929793249,137.298420895128,605.424974866625
2051,444.614385380765,127.134526450926,583.166321385362
2052,423.941144135074,117.845817419678,560.769245680201
2053,404.338296879007,109.582263899395,538.914689514587
2054,385.040545033004,100.825916738629,518.297977412328
2055,366.915414499146,93.1894686409611,498.924629237779
2056,349.377895001205,85.9415281097813,478.684116334638
2057,332.086103735439,78.9405398800403,459.608733384366
2058,315.812480128971,72.2734027076876,440.978338346454
2059,300.03422502353,66.1778497859767,423.344897970683
2060,284.622146429923,59.6457014393451,406.391729567095
2061,270.233397835003,52.9842892220918,388.952930924378
2062,255.998434272698,47.00306548437,373.094449156145
2063,242.157652275021,41.2697035376861,357.337753733666
2064,229.003675729181,35.8127797870739,341.989072239576
2065,216.30262314129,29.9491079977031,326.979506123901
2066,204.24171076127,24.9342997707818,312.407054033324
2067,192.693949952979,19.841366023088,298.924587802981
2068,181.510581059619,15.0642176787357,285.082879806085
2069,170.787223424185,10.558127812924,271.938695560224
2070,160.492171644404,6.4019291184049,259.259781958941
2071,150.447523836024,3.05133172549602,246.623361563175
2072,140.914021155678,1.67352648743763,234.981342326827
2073,131.870450604167,1.02142921284823,223.184755461299
2074,123.077525244951,0.604884741227886,212.252653965083
2075,114.677696109926,0.390464728128993,201.285053766895
2076,106.606651864934,0.242484477858729,190.450687986084
2077,98.928658042185,0.150854878992854,180.597672659985
2078,91.5404294079137,0.090129497532533,171.079617328478
2079,84.3796151327681,0.0534257848479413,161.447188674505
2080,77.5775776964296,0.0286949992692073,152.23752892289
2081,71.1271131485843,0.0154155297917074,143.369657453181
2082,64.9175144593913,0.00625823683969524,134.487822482308
2083,59.0662149927478,0.00182013820275143,126.225134329198
2084,53.5330072607181,0.000263229619908354,118.066396330927
2085,48.3417795048616,0,110.284254454658
2086,43.558321271138,0,102.798511506927
2087,39.0576198019335,0,95.1682469614596
2088,34.8456963974633,0,87.8500923265107
2089,30.9578904720845,0,81.1391596297339
2090,27.3238190639643,0,74.559973808716
2091,23.8808431552357,0,67.9428269250349
2092,20.6810531819645,0,61.7397908031301
2093,17.6665692337012,0,55.5785748840701
2094,14.8553725816526,0,49.8142659060926
2095,12.2196742048715,0,44.250877584853
2096,9.77417385951334,0,38.5938388114229
2097,7.55099429268617,0,33.3897781794549
2098,5.58209502964262,0,28.0842134170746
2099,3.93229815402623,0,22.9958408010481
